instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,num_routes,num_nodes,num_customers,capacity,total_demand,route,best_solve_time_sec,avg_solve_time_sec
3_ChabibMaulana.vrp,42415,42415.00,42415,5,1,1,40,39,30.0,10.71,0-32-34-22-25-11-20-24-37-16-9-17-36-19-29-35-12-23-5-27-15-28-21-30-8-1-14-18-4-26-2-31-38-39-6-7-33-13-10-3-0,10.0089,10.0025
3_ChabibMaulana.vrp,42415,42415.00,42415,1,1,1,40,39,30.0,10.71,0-32-34-22-25-11-20-24-37-16-9-17-36-19-29-35-12-23-5-27-15-28-21-30-8-1-14-18-4-26-2-31-38-39-6-7-33-13-10-3-0,10.0023,10.0023
3_ChabibMaulana.vrp,42415,42415.00,42415,1,1,1,40,39,30.0,10.71,0-32-34-22-25-11-20-24-37-16-9-17-36-19-29-35-12-23-5-27-15-28-21-30-8-1-14-18-4-26-2-31-38-39-6-7-33-13-10-3-0,10.0074,10.0074
3_ChabibMaulana.vrp,42415,42415.00,42415,1,1,1,40,39,30.0,10.71,0-32-34-22-25-11-20-24-37-16-9-17-36-19-29-35-12-23-5-27-15-28-21-30-8-1-14-18-4-26-2-31-38-39-6-7-33-13-10-3-0,10.0073,10.0073
