instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,best_seed,num_routes,num_nodes,num_customers,capacity,total_demand,best_route,chromosome,total_time_sec,avg_time_per_run_sec
4_MochAlfian.vrp,24284.00,26150.20,29440.00,5,1,200,1,25,24,30.0,4.61,0-6-15-5-12-14-17-4-7-11-16-2-22-21-23-13-24-10-9-19-20-3-18-1-8-0,6-15-5-12-14-17-4-7-11-16-2-22-21-23-13-24-10-9-19-20-3-18-1-8,1.4297,0.2859
4_MochAlfian.vrp,24284.00,26150.20,29440.00,5,1,200,1,25,24,30.0,4.61,0-6-15-5-12-14-17-4-7-11-16-2-22-21-23-13-24-10-9-19-20-3-18-1-8-0,6-15-5-12-14-17-4-7-11-16-2-22-21-23-13-24-10-9-19-20-3-18-1-8,1.4221,0.2844
