instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,best_seed,num_routes,num_nodes,num_customers,capacity,total_demand,best_route,chromosome,total_time_sec,avg_time_per_run_sec
2_WahyuDwi.vrp,31664.00,31722.80,31957.00,5,1,100,1,36,35,30.0,22.24,0-20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1-0,20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1,51.2175,10.2435
2_WahyuDwi.vrp,31664.00,31722.80,31957.00,5,1,100,1,36,35,30.0,22.24,0-20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1-0,20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1,51.4906,10.2981
2_WahyuDwi.vrp,31664.00,31781.20,31957.00,5,1,100,1,36,35,30.0,22.24,0-20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1-0,20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1,51.8166,10.3633
2_WahyuDwi.vrp,31664.00,31781.20,31957.00,5,1,100,1,36,35,30.0,22.24,0-20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1-0,20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1,54.2706,10.8541
2_WahyuDwi.vrp,31664.00,31722.80,31957.00,5,1,100,1,36,35,30.0,22.24,0-20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1-0,20-26-24-31-3-30-6-11-25-22-15-16-4-21-32-9-27-23-33-34-35-28-13-2-8-29-17-10-7-19-14-18-5-12-1,51.7197,10.3439
