instance_file,cost,num_routes,capacity,route,time_sec
2_WahyuDwi.vrp,35327.00,1,30.0,0-26-20-23-33-35-34-32-9-27-24-25-11-31-3-30-6-21-22-15-16-4-28-1-5-12-14-18-19-7-10-29-17-8-13-2-0,0.000061
2_WahyuDwi.vrp,35327.00,1,30.0,0-26-20-23-33-35-34-32-9-27-24-25-11-31-3-30-6-21-22-15-16-4-28-1-5-12-14-18-19-7-10-29-17-8-13-2-0,0.000058
