instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,best_seed,num_routes,num_nodes,num_customers,capacity,total_demand,best_route,chromosome,total_time_sec,avg_time_per_run_sec
3_ChabibMaulana.vrp,42837.00,43182.60,43764.00,5,5,104,1,40,39,30.0,10.71,0-32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13-0,32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13,50.6371,10.1274
3_ChabibMaulana.vrp,42837.00,43182.60,43764.00,5,5,104,1,40,39,30.0,10.71,0-32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13-0,32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13,50.7549,10.1510
3_ChabibMaulana.vrp,42883.00,43711.80,44287.00,5,3,102,1,40,39,30.0,10.71,0-27-32-34-22-25-20-11-24-37-36-5-23-29-19-35-12-16-9-17-10-15-21-28-30-8-14-1-4-26-18-2-31-38-39-6-7-33-13-3-0,27-32-34-22-25-20-11-24-37-36-5-23-29-19-35-12-16-9-17-10-15-21-28-30-8-14-1-4-26-18-2-31-38-39-6-7-33-13-3,52.5504,10.5101
3_ChabibMaulana.vrp,42837.00,43387.80,44287.00,5,5,104,1,40,39,30.0,10.71,0-32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13-0,32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13,52.8723,10.5745
3_ChabibMaulana.vrp,42837.00,43202.40,43862.00,5,5,104,1,40,39,30.0,10.71,0-32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13-0,32-34-22-25-20-11-24-37-16-9-17-36-29-19-12-35-23-5-27-3-10-15-21-28-30-8-1-14-2-31-4-26-18-38-39-6-7-33-13,52.6883,10.5377
