instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,best_seed,num_routes,num_nodes,num_customers,capacity,total_demand,best_route,chromosome,total_time_sec,avg_time_per_run_sec
4_MochAlfian.vrp,22449.00,22798.60,23461.00,5,1,100,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-1-13-24-10-9-19-20-3-18-14-17-4-7-11-16-2-22-0,15-8-21-6-23-5-12-1-13-24-10-9-19-20-3-18-14-17-4-7-11-16-2-22,50.3103,10.0621
4_MochAlfian.vrp,22449.00,22798.60,23461.00,5,1,100,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-1-13-24-10-9-19-20-3-18-14-17-4-7-11-16-2-22-0,15-8-21-6-23-5-12-1-13-24-10-9-19-20-3-18-14-17-4-7-11-16-2-22,50.2914,10.0583
4_MochAlfian.vrp,23165.00,24082.80,25296.00,5,4,103,1,25,24,30.0,4.61,0-5-12-1-13-24-10-9-19-20-3-18-8-21-22-6-23-15-14-17-4-7-11-16-2-0,5-12-1-13-24-10-9-19-20-3-18-8-21-22-6-23-15-14-17-4-7-11-16-2,51.1000,10.2200
4_MochAlfian.vrp,23165.00,24659.20,25667.00,5,4,103,1,25,24,30.0,4.61,0-5-12-1-13-24-10-9-19-20-3-18-8-21-22-6-23-15-14-17-4-7-11-16-2-0,5-12-1-13-24-10-9-19-20-3-18-8-21-22-6-23-15-14-17-4-7-11-16-2,50.9221,10.1844
4_MochAlfian.vrp,22449.00,23145.20,24121.00,5,5,104,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22-0,15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22,50.3753,10.0751
