instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,num_routes,num_nodes,num_customers,capacity,total_demand,route,best_solve_time_sec,avg_solve_time_sec
4_MochAlfian.vrp,22449,22449.00,22449,5,1,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22-0,10.0020,10.0009
4_MochAlfian.vrp,22449,22449.00,22449,1,1,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22-0,10.0036,10.0036
4_MochAlfian.vrp,22449,22449.00,22449,1,1,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22-0,10.0180,10.0180
4_MochAlfian.vrp,22449,22449.00,22449,1,1,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22-0,10.0142,10.0142
4_MochAlfian.vrp,22449,22449.00,22449,1,1,1,25,24,30.0,4.61,0-15-8-21-6-23-5-12-13-24-10-9-19-20-3-18-1-14-17-4-7-11-16-2-22-0,10.0063,10.0063
