instance_file,cost,num_routes,capacity,route,time_sec
3_ChabibMaulana.vrp,48244.00,1,30.0,0-3-10-21-28-30-1-14-18-4-26-38-8-31-2-33-13-39-7-6-15-32-22-34-20-11-24-37-16-9-17-23-36-19-29-35-12-5-25-27-0,0.000065
3_ChabibMaulana.vrp,48244.00,1,30.0,0-3-10-21-28-30-1-14-18-4-26-38-8-31-2-33-13-39-7-6-15-32-22-34-20-11-24-37-16-9-17-23-36-19-29-35-12-5-25-27-0,0.000066
3_ChabibMaulana.vrp,48244.00,1,30.0,0-3-10-21-28-30-1-14-18-4-26-38-8-31-2-33-13-39-7-6-15-32-22-34-20-11-24-37-16-9-17-23-36-19-29-35-12-5-25-27-0,0.000204
3_ChabibMaulana.vrp,48244.00,1,30.0,0-3-10-21-28-30-1-14-18-4-26-38-8-31-2-33-13-39-7-6-15-32-22-34-20-11-24-37-16-9-17-23-36-19-29-35-12-5-25-27-0,0.000100
3_ChabibMaulana.vrp,48244.00,1,30.0,0-3-10-21-28-30-1-14-18-4-26-38-8-31-2-33-13-39-7-6-15-32-22-34-20-11-24-37-16-9-17-23-36-19-29-35-12-5-25-27-0,0.000069
