instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,best_seed,num_routes,num_nodes,num_customers,capacity,total_demand,best_route,chromosome,total_time_sec,avg_time_per_run_sec
1_FaridFajar.vrp,25413.00,26944.80,27793.00,5,3,202,1,45,44,30.0,3.91,0-14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18-0,14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18,7.2485,1.4497
1_FaridFajar.vrp,25413.00,26944.80,27793.00,5,3,202,1,45,44,30.0,3.91,0-14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18-0,14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18,7.1110,1.4222
1_FaridFajar.vrp,25413.00,26944.80,27793.00,5,3,202,1,45,44,30.0,3.91,0-14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18-0,14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18,11.2895,2.2579
1_FaridFajar.vrp,25413.00,26944.80,27793.00,5,3,202,1,45,44,30.0,3.91,0-14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18-0,14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18,23.4268,4.6854
1_FaridFajar.vrp,25413.00,26944.80,27793.00,5,3,202,1,45,44,30.0,3.91,0-14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18-0,14-41-36-12-17-26-1-25-38-22-32-19-44-43-37-2-11-6-5-4-8-10-16-31-34-9-21-24-33-30-35-20-3-27-23-7-39-28-40-42-13-29-15-18,14.6624,2.9325
