instance_file,best_cost,avg_cost,worst_cost,num_runs,best_run,num_routes,num_nodes,num_customers,capacity,total_demand,route,best_solve_time_sec,avg_solve_time_sec
2_WahyuDwi.vrp,31666,31666.00,31666,5,1,1,36,35,30.0,22.24,0-20-26-24-11-25-6-30-3-31-4-22-16-15-21-32-9-27-23-33-35-34-28-13-2-8-29-17-10-7-18-19-14-12-5-1-0,10.0062,10.0026
2_WahyuDwi.vrp,31666,31666.00,31666,1,1,1,36,35,30.0,22.24,0-20-26-24-11-25-6-30-3-31-4-22-16-15-21-32-9-27-23-33-35-34-28-13-2-8-29-17-10-7-18-19-14-12-5-1-0,10.0021,10.0021
